,good_review
11740,Good
4041,Good
3755,Good
1285,Good
9465,Good
20803,Good
12309,Good
20324,Good
13094,Good
2631,Bad
17385,Good
5941,Good
1049,Good
11002,Good
15761,Good
541,Good
3014,Good
20285,Good
10028,Bad
20754,Good
13209,Good
7127,Good
14932,Good
4903,Bad
12516,Good
7943,Good
18854,Bad
2060,Good
11808,Good
8307,Good
21331,Good
14391,Good
3271,Bad
5302,Good
6672,Bad
4499,Good
15575,Good
7121,Good
11087,Good
4326,Good
10244,Good
9506,Good
9617,Good
8209,Good
15417,Good
406,Good
9845,Bad
11018,Good
840,Good
1269,Good
19280,Good
4773,Good
17910,Good
3500,Good
4908,Bad
19799,Bad
16768,Good
9256,Good
410,Good
762,Good
21549,Good
8766,Good
17365,Bad
12021,Good
11005,Bad
12242,Good
12370,Good
9074,Good
1962,Good
2410,Good
13745,Bad
7313,Bad
6880,Good
9339,Good
14000,Good
20210,Bad
11109,Good
1939,Bad
3512,Bad
8024,Good
6806,Good
588,Good
19580,Bad
15762,Bad
21443,Good
13318,Good
4409,Bad
15883,Good
10172,Good
7105,Good
1595,Good
6253,Good
3753,Good
4175,Good
16503,Good
7502,Bad
15188,Good
4597,Bad
14200,Good
11081,Good
20550,Good
13057,Good
767,Good
3879,Bad
12936,Good
9109,Bad
1786,Good
20204,Good
11117,Good
17398,Good
5701,Good
12532,Good
7816,Good
3331,Bad
12682,Good
10683,Good
4070,Bad
4607,Good
10395,Bad
3612,Good
19106,Good
9760,Good
2075,Good
4237,Bad
6224,Good
15902,Bad
17811,Bad
1898,Good
3004,Bad
14557,Good
21074,Good
11893,Good
7193,Bad
7724,Good
10548,Good
2919,Good
4318,Good
11181,Good
11642,Good
11471,Good
21333,Good
7476,Good
535,Good
18884,Good
8382,Good
8330,Good
4952,Good
16770,Bad
21276,Good
18246,Good
4471,Good
2193,Good
21052,Good
2545,Good
12733,Bad
10726,Good
2788,Bad
17457,Bad
14998,Bad
7736,Good
2262,Good
17290,Good
16615,Good
7629,Good
3532,Bad
5373,Good
4681,Bad
3141,Good
9299,Good
